@relation <train.arff>
@ATTRIBUTE Attribute_1 NUMERIC
@ATTRIBUTE Attribute_2 NUMERIC
@ATTRIBUTE Attribute_3 NUMERIC
@ATTRIBUTE Attribute_4 NUMERIC
@ATTRIBUTE Attribute_5 NUMERIC
@ATTRIBUTE Attribute_6 NUMERIC
@ATTRIBUTE Attribute_7 NUMERIC
@ATTRIBUTE Attribute_8 NUMERIC
@ATTRIBUTE Attribute_9 NUMERIC
@ATTRIBUTE Attribute_10 NUMERIC
@ATTRIBUTE Attribute_11 NUMERIC
@ATTRIBUTE Attribute_12 NUMERIC
@ATTRIBUTE Attribute_13 NUMERIC
@ATTRIBUTE Attribute_14 NUMERIC
@ATTRIBUTE Attribute_15 NUMERIC
@ATTRIBUTE Attribute_16 NUMERIC
@ATTRIBUTE Attribute_17 NUMERIC
@ATTRIBUTE Attribute_18 NUMERIC
@ATTRIBUTE class {0,1,2,3}
@data
24.00,5162.00,4633099.00,10.00,214890.00,85.00,117.00,60.00,123.00,122.00,73.00,59.00,28.00,533500.00,105907.00,5.00,5.00,5.00,3
22.00,9438.00,4596398.00,11.00,196701.00,68.00,65.00,64.00,45.00,119.00,51.00,102.00,41.00,640475.00,149557.00,5.00,5.00,5.00,3
30.00,4663.00,4931177.00,11.00,141813.00,99.00,70.00,71.00,63.00,98.00,103.00,102.00,37.00,496009.00,390912.00,691528.00,297552.00,445934.00,1
25.00,11677.00,4413566.00,15.00,163217.00,64.00,79.00,63.00,41.00,42.00,57.00,88.00,36.00,1088900.00,857381.00,424905.00,270316.00,598588.00,2
29.00,5315.00,4743064.00,11.00,155959.00,88.00,86.00,110.00,116.00,61.00,89.00,104.00,26.00,1100864.00,275827.00,342488.00,512869.00,778006.00,1
25.00,11637.00,4438465.00,11.00,104326.00,107.00,92.00,61.00,73.00,43.00,92.00,50.00,43.00,357491.00,140155.00,5.00,5.00,5.00,0
27.00,6723.00,4576112.00,14.00,140651.00,124.00,102.00,122.00,44.00,118.00,48.00,108.00,44.00,854048.00,1022787.00,573862.00,282767.00,265722.00,0
31.00,7935.00,3924294.00,13.00,152878.00,74.00,55.00,73.00,45.00,103.00,50.00,122.00,39.00,1151525.00,500832.00,5.00,5.00,5.00,1
34.00,9591.00,4102197.00,10.00,225941.00,86.00,71.00,40.00,60.00,112.00,82.00,49.00,38.00,66725.00,769749.00,722476.00,14864.00,468182.00,2
35.00,10843.00,4165219.00,10.00,197640.00,86.00,105.00,70.00,86.00,83.00,87.00,47.00,33.00,900099.00,721460.00,5.00,5.00,5.00,3
24.00,7518.00,4492980.00,12.00,183155.00,98.00,51.00,89.00,92.00,42.00,104.00,101.00,22.00,891117.00,269696.00,5.00,5.00,5.00,3
24.00,10713.00,4642662.00,10.00,148097.00,64.00,62.00,67.00,93.00,41.00,112.00,114.00,25.00,649925.00,435422.00,495027.00,388698.00,365324.00,1
23.00,11390.00,4459695.00,13.00,113824.00,124.00,100.00,100.00,52.00,89.00,79.00,53.00,45.00,1112368.00,282134.00,638443.00,494846.00,679125.00,2
25.00,11071.00,4817428.00,10.00,186493.00,50.00,39.00,104.00,128.00,102.00,108.00,105.00,42.00,778132.00,398718.00,5.00,5.00,5.00,2
35.00,6624.00,3977743.00,13.00,144613.00,82.00,86.00,70.00,63.00,43.00,93.00,123.00,40.00,498269.00,3875.00,519485.00,761069.00,131805.00,1
22.00,10889.00,4223816.00,12.00,184648.00,107.00,107.00,90.00,59.00,115.00,101.00,96.00,43.00,1058486.00,333572.00,264774.00,121497.00,101270.00,2
34.00,7096.00,4374988.00,10.00,96846.00,118.00,84.00,77.00,95.00,113.00,47.00,113.00,28.00,617977.00,949930.00,298010.00,37068.00,210629.00,1
24.00,6620.00,4312049.00,15.00,156075.00,39.00,88.00,54.00,85.00,49.00,101.00,116.00,28.00,774460.00,1047150.00,5.00,5.00,5.00,3
34.00,5765.00,4094487.00,12.00,95975.00,79.00,106.00,42.00,82.00,114.00,65.00,48.00,30.00,158733.00,872705.00,5.00,5.00,5.00,2
25.00,7935.00,4371383.00,14.00,186247.00,112.00,93.00,121.00,53.00,43.00,117.00,56.00,30.00,214999.00,594285.00,495266.00,280699.00,211872.00,0
27.00,8258.00,4402918.00,13.00,100315.00,43.00,118.00,119.00,91.00,54.00,96.00,114.00,37.00,124287.00,448542.00,718833.00,268861.00,20906.00,0
34.00,6028.00,3986814.00,12.00,212852.00,118.00,96.00,123.00,39.00,70.00,71.00,63.00,42.00,763624.00,592272.00,32776.00,359787.00,237850.00,1
31.00,10136.00,4083496.00,14.00,114801.00,80.00,108.00,43.00,103.00,73.00,51.00,52.00,39.00,89313.00,458593.00,655263.00,664958.00,785560.00,3
33.00,7255.00,4152939.00,12.00,223312.00,57.00,102.00,97.00,44.00,51.00,127.00,86.00,32.00,852191.00,1006328.00,30225.00,535480.00,795944.00,1
32.00,11837.00,4994786.00,15.00,178489.00,39.00,96.00,96.00,81.00,52.00,39.00,99.00,34.00,757411.00,1023523.00,308747.00,517806.00,32582.00,1
30.00,7327.00,4153119.00,13.00,202238.00,82.00,103.00,109.00,78.00,58.00,118.00,48.00,42.00,855009.00,142198.00,682811.00,425102.00,238415.00,1
28.00,9113.00,3958860.00,10.00,143699.00,91.00,51.00,95.00,74.00,49.00,105.00,95.00,25.00,868864.00,36800.00,5.00,5.00,5.00,3
24.00,11895.00,4835618.00,15.00,217768.00,82.00,96.00,99.00,81.00,90.00,121.00,103.00,28.00,1168367.00,981304.00,361289.00,313520.00,198230.00,2
23.00,5220.00,3857937.00,11.00,137722.00,46.00,39.00,79.00,111.00,80.00,95.00,89.00,40.00,36310.00,16540.00,559894.00,349700.00,158766.00,3
24.00,10381.00,4946109.00,11.00,123605.00,75.00,58.00,112.00,81.00,121.00,108.00,95.00,23.00,203571.00,1039552.00,5.00,5.00,5.00,1
26.00,4415.00,4932450.00,15.00,134700.00,107.00,118.00,89.00,65.00,87.00,45.00,121.00,34.00,1190483.00,197339.00,636765.00,31412.00,645725.00,0
23.00,5941.00,4372402.00,14.00,100594.00,126.00,61.00,54.00,128.00,73.00,79.00,41.00,33.00,238268.00,245999.00,406559.00,156482.00,807660.00,3
34.00,4135.00,4752966.00,15.00,113916.00,95.00,62.00,49.00,47.00,60.00,82.00,101.00,27.00,930266.00,822727.00,468490.00,222366.00,743326.00,0
25.00,11938.00,4119400.00,15.00,188807.00,62.00,50.00,101.00,62.00,114.00,119.00,71.00,33.00,360670.00,740270.00,638816.00,344817.00,226880.00,0
33.00,6799.00,4047283.00,14.00,217955.00,42.00,65.00,40.00,40.00,79.00,77.00,69.00,28.00,117543.00,838348.00,770742.00,341382.00,484970.00,0
26.00,6220.00,4522563.00,11.00,164379.00,88.00,121.00,48.00,51.00,93.00,81.00,50.00,41.00,706800.00,1156698.00,6558.00,178066.00,583132.00,0
27.00,4734.00,4265404.00,13.00,121094.00,94.00,60.00,74.00,52.00,108.00,40.00,115.00,41.00,463237.00,735358.00,5.00,5.00,5.00,0
30.00,8429.00,4214907.00,11.00,123837.00,94.00,48.00,89.00,63.00,63.00,47.00,123.00,28.00,920434.00,694233.00,378845.00,719472.00,786885.00,2
35.00,4972.00,4132934.00,15.00,118505.00,88.00,90.00,86.00,120.00,58.00,64.00,121.00,29.00,977436.00,1184754.00,554051.00,74441.00,112469.00,0
25.00,3043.00,5000305.00,14.00,119978.00,55.00,41.00,45.00,89.00,126.00,119.00,124.00,31.00,688189.00,113786.00,5.00,5.00,5.00,0
35.00,6710.00,4259562.00,15.00,168544.00,41.00,102.00,68.00,110.00,61.00,41.00,50.00,41.00,424384.00,1201715.00,786361.00,443149.00,340315.00,0
24.00,3391.00,4292911.00,10.00,120191.00,47.00,81.00,128.00,108.00,73.00,127.00,106.00,39.00,118454.00,1041755.00,112034.00,761533.00,201752.00,3
30.00,9495.00,4635605.00,12.00,186850.00,82.00,107.00,67.00,112.00,102.00,67.00,124.00,34.00,1108974.00,560713.00,10400.00,690225.00,242662.00,1
30.00,3490.00,4932302.00,14.00,101236.00,120.00,87.00,69.00,39.00,72.00,49.00,109.00,30.00,525057.00,1178920.00,5.00,5.00,5.00,3
29.00,10110.00,4338341.00,15.00,147391.00,103.00,102.00,63.00,101.00,85.00,70.00,102.00,32.00,851245.00,865961.00,5.00,5.00,5.00,3
32.00,7302.00,4173775.00,12.00,168282.00,61.00,45.00,81.00,95.00,102.00,124.00,56.00,30.00,55560.00,564175.00,514157.00,645608.00,191341.00,2
23.00,7018.00,4795712.00,11.00,195680.00,75.00,71.00,119.00,101.00,101.00,118.00,58.00,29.00,653985.00,111510.00,67153.00,352992.00,220325.00,2
26.00,5510.00,4680049.00,15.00,115867.00,108.00,63.00,100.00,51.00,96.00,86.00,101.00,39.00,570662.00,6556.00,569496.00,236595.00,627163.00,1
27.00,3628.00,5006063.00,10.00,175489.00,90.00,106.00,98.00,128.00,63.00,95.00,128.00,35.00,197225.00,145313.00,486008.00,65797.00,400237.00,3
33.00,9137.00,4714886.00,15.00,175972.00,105.00,110.00,100.00,63.00,99.00,86.00,56.00,39.00,470522.00,673155.00,5.00,5.00,5.00,1
33.00,8438.00,3869847.00,12.00,173658.00,74.00,72.00,117.00,103.00,110.00,113.00,69.00,32.00,1185613.00,704330.00,112799.00,407421.00,493986.00,1
22.00,11785.00,3882456.00,15.00,131228.00,66.00,104.00,121.00,96.00,65.00,73.00,114.00,29.00,1157452.00,1086852.00,5.00,5.00,5.00,3
33.00,4589.00,4724387.00,12.00,199530.00,78.00,112.00,57.00,109.00,93.00,68.00,51.00,44.00,1082977.00,889264.00,413884.00,220204.00,376649.00,0
34.00,4751.00,4349410.00,14.00,218282.00,66.00,115.00,54.00,40.00,106.00,89.00,91.00,38.00,338808.00,912291.00,568098.00,298504.00,5628.00,0
27.00,9654.00,4359332.00,10.00,107571.00,118.00,80.00,64.00,45.00,92.00,123.00,79.00,44.00,352906.00,1117965.00,5.00,5.00,5.00,3
25.00,11689.00,4144610.00,11.00,162680.00,112.00,64.00,73.00,40.00,115.00,92.00,125.00,37.00,163274.00,792347.00,378583.00,130752.00,181083.00,1
26.00,8881.00,4018039.00,11.00,142329.00,102.00,58.00,101.00,127.00,58.00,64.00,112.00,25.00,545102.00,269396.00,5.00,5.00,5.00,1
31.00,10817.00,3821444.00,10.00,167031.00,67.00,110.00,65.00,74.00,62.00,54.00,116.00,45.00,291481.00,79408.00,5.00,5.00,5.00,0
22.00,10685.00,4341926.00,10.00,142858.00,95.00,42.00,46.00,119.00,69.00,73.00,46.00,43.00,471958.00,269713.00,5.00,5.00,5.00,3
34.00,4706.00,4479868.00,13.00,105010.00,110.00,98.00,81.00,44.00,74.00,105.00,68.00,40.00,334269.00,304545.00,5.00,5.00,5.00,1
29.00,11209.00,3907038.00,14.00,145418.00,86.00,109.00,91.00,39.00,68.00,54.00,98.00,45.00,174914.00,909317.00,477372.00,142152.00,288923.00,3
35.00,6916.00,4541840.00,15.00,181514.00,43.00,79.00,117.00,45.00,47.00,128.00,47.00,30.00,36067.00,605067.00,642520.00,86938.00,778140.00,1
22.00,4688.00,4369295.00,10.00,95846.00,62.00,109.00,106.00,117.00,73.00,40.00,80.00,22.00,321835.00,1010609.00,5.00,5.00,5.00,1
28.00,3797.00,4292702.00,11.00,207742.00,57.00,78.00,66.00,91.00,60.00,111.00,120.00,37.00,518143.00,383819.00,712340.00,298515.00,481059.00,2
22.00,9662.00,4806395.00,11.00,117687.00,52.00,64.00,127.00,106.00,48.00,70.00,128.00,32.00,1182624.00,526671.00,5.00,5.00,5.00,2
26.00,3976.00,4816426.00,10.00,200124.00,106.00,109.00,43.00,96.00,49.00,114.00,108.00,42.00,605166.00,1136770.00,505249.00,198177.00,390140.00,2
35.00,9683.00,4967897.00,15.00,151724.00,106.00,62.00,92.00,128.00,48.00,64.00,126.00,31.00,593103.00,1134320.00,626481.00,662517.00,534940.00,3
24.00,4437.00,4265042.00,12.00,166027.00,103.00,124.00,111.00,74.00,53.00,123.00,101.00,33.00,1023123.00,103190.00,731929.00,448466.00,59998.00,1
23.00,9612.00,4877762.00,13.00,188956.00,58.00,76.00,115.00,113.00,124.00,122.00,50.00,27.00,532923.00,927411.00,44273.00,348639.00,671547.00,0
22.00,5662.00,4553103.00,14.00,179598.00,93.00,120.00,43.00,112.00,122.00,84.00,87.00,26.00,186591.00,60090.00,51076.00,40588.00,463709.00,1
27.00,7256.00,3939606.00,14.00,197798.00,55.00,84.00,124.00,59.00,113.00,44.00,67.00,44.00,598661.00,574070.00,356122.00,78520.00,607065.00,0
26.00,9315.00,4715347.00,15.00,125366.00,61.00,44.00,85.00,110.00,66.00,100.00,79.00,36.00,56515.00,534973.00,54060.00,763068.00,679041.00,1
23.00,5495.00,3916999.00,13.00,166734.00,109.00,99.00,53.00,46.00,53.00,92.00,119.00,30.00,95028.00,1056078.00,5.00,5.00,5.00,3
29.00,8457.00,4361485.00,10.00,194747.00,56.00,50.00,96.00,54.00,104.00,86.00,53.00,34.00,703063.00,872563.00,642885.00,517945.00,58681.00,1
30.00,10952.00,3950566.00,12.00,111722.00,68.00,67.00,41.00,63.00,112.00,77.00,95.00,44.00,299057.00,1197839.00,277908.00,595339.00,796837.00,0
22.00,7254.00,4432153.00,12.00,131637.00,83.00,126.00,75.00,88.00,84.00,49.00,51.00,30.00,14294.00,1175222.00,5.00,5.00,5.00,1
29.00,11171.00,3898575.00,14.00,119227.00,39.00,96.00,111.00,99.00,75.00,76.00,105.00,36.00,1080162.00,431979.00,5.00,5.00,5.00,3
31.00,11023.00,4227160.00,11.00,215535.00,52.00,78.00,72.00,90.00,82.00,85.00,62.00,41.00,284072.00,929955.00,216239.00,200902.00,268028.00,3
28.00,10957.00,4019035.00,13.00,223185.00,81.00,95.00,55.00,92.00,105.00,110.00,127.00,30.00,69294.00,792821.00,768419.00,600539.00,582703.00,3
35.00,10655.00,4975424.00,15.00,194569.00,60.00,58.00,113.00,52.00,51.00,75.00,121.00,39.00,752707.00,587552.00,5.00,5.00,5.00,2
29.00,6723.00,3958209.00,13.00,107427.00,98.00,105.00,106.00,63.00,79.00,114.00,74.00,30.00,696663.00,1174773.00,5.00,5.00,5.00,2
34.00,10137.00,4361743.00,15.00,152176.00,114.00,91.00,120.00,73.00,109.00,128.00,95.00,28.00,1172391.00,1125343.00,115602.00,149363.00,302631.00,1
22.00,11950.00,4309574.00,12.00,137670.00,87.00,101.00,105.00,123.00,43.00,56.00,45.00,43.00,452378.00,95061.00,658587.00,260653.00,609979.00,0
35.00,10648.00,4775604.00,14.00,222418.00,45.00,67.00,115.00,84.00,111.00,64.00,62.00,30.00,23179.00,431682.00,7442.00,562305.00,485275.00,3
34.00,10572.00,3861678.00,11.00,184435.00,61.00,59.00,48.00,71.00,46.00,109.00,92.00,38.00,221162.00,77917.00,599373.00,599505.00,281506.00,1
23.00,7224.00,4459826.00,10.00,147910.00,77.00,55.00,128.00,106.00,104.00,110.00,120.00,38.00,121428.00,893366.00,95360.00,777342.00,384143.00,0
32.00,7365.00,4023215.00,14.00,222471.00,52.00,126.00,67.00,126.00,126.00,41.00,54.00,35.00,112401.00,489112.00,461641.00,336006.00,287261.00,1
34.00,6004.00,4751440.00,13.00,189785.00,47.00,114.00,51.00,82.00,106.00,93.00,114.00,31.00,61280.00,1036340.00,5.00,5.00,5.00,1
32.00,11135.00,4471767.00,12.00,222566.00,63.00,107.00,89.00,97.00,122.00,55.00,68.00,40.00,268315.00,899436.00,236714.00,477828.00,330717.00,1
30.00,5195.00,4587298.00,12.00,176769.00,113.00,121.00,113.00,102.00,107.00,126.00,117.00,28.00,405533.00,593641.00,190648.00,608552.00,436856.00,2
35.00,9974.00,4426188.00,11.00,134399.00,62.00,69.00,69.00,102.00,51.00,127.00,101.00,34.00,63447.00,666173.00,491319.00,665380.00,244418.00,0
29.00,9336.00,4644745.00,14.00,120190.00,107.00,96.00,127.00,39.00,78.00,40.00,47.00,31.00,471894.00,7746.00,225850.00,318873.00,146178.00,1
30.00,8493.00,4640976.00,12.00,156825.00,127.00,47.00,82.00,86.00,115.00,113.00,44.00,39.00,680646.00,572994.00,5.00,5.00,5.00,3
24.00,3288.00,4803271.00,11.00,161961.00,110.00,122.00,88.00,64.00,114.00,93.00,45.00,25.00,849272.00,732285.00,690905.00,446936.00,715106.00,3
33.00,10620.00,4036992.00,12.00,191246.00,50.00,93.00,127.00,121.00,104.00,92.00,108.00,36.00,241976.00,41956.00,766070.00,236661.00,28243.00,3
33.00,6490.00,4794631.00,10.00,146457.00,43.00,64.00,109.00,80.00,88.00,48.00,77.00,33.00,1041941.00,449939.00,585688.00,744463.00,582301.00,2
26.00,3586.00,4811610.00,10.00,164686.00,41.00,126.00,53.00,66.00,76.00,100.00,97.00,30.00,1178439.00,1123776.00,244984.00,112552.00,620117.00,3
34.00,5524.00,4076098.00,11.00,139155.00,94.00,118.00,78.00,39.00,73.00,66.00,125.00,23.00,301983.00,964509.00,5.00,5.00,5.00,0
23.00,8868.00,4308505.00,10.00,159236.00,94.00,102.00,90.00,113.00,72.00,101.00,114.00,24.00,711909.00,589717.00,679065.00,110417.00,657407.00,0
24.00,8150.00,4537883.00,15.00,200350.00,85.00,77.00,61.00,87.00,101.00,49.00,40.00,25.00,852322.00,308471.00,472158.00,206640.00,756463.00,3
28.00,9145.00,4897269.00,10.00,183242.00,97.00,42.00,80.00,43.00,83.00,99.00,52.00,44.00,305373.00,873816.00,663604.00,720460.00,786239.00,2
35.00,3416.00,4147044.00,12.00,120113.00,82.00,118.00,97.00,70.00,89.00,55.00,83.00,26.00,1177909.00,301852.00,5.00,5.00,5.00,1
31.00,5094.00,4679591.00,15.00,123295.00,84.00,71.00,62.00,117.00,82.00,116.00,105.00,42.00,973294.00,998745.00,756060.00,175062.00,241593.00,3
28.00,3430.00,4769697.00,14.00,149404.00,62.00,49.00,101.00,85.00,125.00,80.00,58.00,41.00,634218.00,126900.00,493022.00,554013.00,668947.00,2
32.00,11786.00,4173625.00,11.00,143253.00,114.00,41.00,96.00,114.00,96.00,102.00,112.00,42.00,85049.00,887718.00,89079.00,644831.00,453736.00,0
33.00,12093.00,4958475.00,12.00,107384.00,119.00,41.00,80.00,78.00,120.00,46.00,39.00,25.00,670375.00,623745.00,5.00,5.00,5.00,2
22.00,11963.00,4554941.00,14.00,185263.00,108.00,124.00,49.00,57.00,105.00,120.00,119.00,26.00,1033568.00,442277.00,31902.00,374338.00,530268.00,2
26.00,5616.00,4412655.00,13.00,166614.00,54.00,51.00,85.00,56.00,68.00,105.00,98.00,42.00,48740.00,323948.00,793752.00,149088.00,696235.00,2
31.00,4149.00,4808437.00,14.00,119762.00,96.00,51.00,98.00,51.00,78.00,116.00,43.00,23.00,1108462.00,628795.00,5.00,5.00,5.00,3
33.00,4243.00,4601266.00,13.00,176861.00,50.00,79.00,101.00,42.00,49.00,46.00,72.00,33.00,863832.00,935442.00,374297.00,735284.00,650853.00,1
34.00,9327.00,3938997.00,11.00,173434.00,57.00,39.00,122.00,60.00,53.00,64.00,107.00,31.00,1091152.00,232374.00,5.00,5.00,5.00,2
33.00,3421.00,4584887.00,10.00,115150.00,61.00,101.00,47.00,89.00,79.00,111.00,101.00,43.00,839121.00,1038449.00,793474.00,75283.00,104104.00,3
33.00,4884.00,4056331.00,11.00,184148.00,44.00,108.00,46.00,81.00,113.00,122.00,117.00,28.00,120531.00,1166083.00,407735.00,624990.00,612457.00,3
23.00,11307.00,4919158.00,15.00,128932.00,124.00,55.00,91.00,119.00,75.00,89.00,43.00,23.00,1046359.00,891604.00,764556.00,709044.00,219924.00,3
28.00,8441.00,4002375.00,10.00,111481.00,65.00,70.00,62.00,120.00,108.00,40.00,50.00,45.00,860507.00,630451.00,59284.00,87247.00,6583.00,2
25.00,9447.00,3882329.00,10.00,184844.00,128.00,72.00,120.00,43.00,87.00,73.00,88.00,43.00,489021.00,210741.00,684608.00,763191.00,277387.00,2
22.00,6052.00,4130219.00,13.00,144266.00,75.00,49.00,93.00,52.00,46.00,46.00,59.00,45.00,137712.00,1122999.00,561438.00,63145.00,806204.00,0
32.00,5732.00,3969417.00,13.00,152999.00,66.00,77.00,99.00,42.00,58.00,89.00,39.00,35.00,642535.00,46649.00,5.00,5.00,5.00,3
30.00,3271.00,3898204.00,10.00,104362.00,47.00,123.00,80.00,42.00,63.00,98.00,52.00,22.00,6677.00,48663.00,701239.00,747661.00,282617.00,0
23.00,7867.00,4534788.00,14.00,184436.00,108.00,68.00,124.00,124.00,87.00,62.00,45.00,44.00,767886.00,89546.00,5.00,5.00,5.00,0
32.00,6530.00,4983006.00,10.00,108574.00,76.00,96.00,120.00,122.00,78.00,84.00,73.00,31.00,608272.00,897438.00,10736.00,272287.00,634583.00,2
24.00,9630.00,4288885.00,10.00,141909.00,49.00,101.00,89.00,77.00,76.00,66.00,76.00,31.00,1198310.00,516304.00,201315.00,568404.00,381513.00,3
32.00,6006.00,3924503.00,14.00,150372.00,121.00,102.00,72.00,115.00,40.00,39.00,65.00,28.00,661503.00,1014179.00,796911.00,289981.00,704188.00,1
32.00,4081.00,4515597.00,14.00,153799.00,46.00,43.00,128.00,92.00,84.00,105.00,104.00,40.00,1178167.00,306083.00,581559.00,185583.00,690641.00,2
32.00,7993.00,4842435.00,15.00,222091.00,109.00,128.00,90.00,69.00,117.00,89.00,42.00,35.00,573257.00,10980.00,505988.00,414055.00,351522.00,3
29.00,10366.00,4335281.00,13.00,154631.00,44.00,126.00,46.00,57.00,76.00,43.00,58.00,33.00,456938.00,814534.00,5.00,5.00,5.00,2
24.00,11773.00,4960079.00,13.00,128064.00,58.00,70.00,114.00,81.00,62.00,99.00,108.00,33.00,405461.00,188422.00,170113.00,455089.00,510269.00,3
24.00,3134.00,4739740.00,11.00,205803.00,119.00,104.00,56.00,67.00,119.00,43.00,56.00,38.00,868193.00,883529.00,810028.00,46314.00,748470.00,1
26.00,6571.00,3823056.00,13.00,103432.00,58.00,77.00,88.00,56.00,114.00,62.00,102.00,31.00,643692.00,786581.00,356050.00,626376.00,331147.00,0
24.00,3557.00,4582212.00,11.00,150833.00,80.00,124.00,115.00,124.00,117.00,112.00,83.00,31.00,1046059.00,211913.00,702020.00,150270.00,78954.00,0
30.00,4400.00,4710249.00,11.00,138151.00,56.00,86.00,39.00,112.00,100.00,65.00,60.00,27.00,1130243.00,389681.00,40098.00,748354.00,273827.00,2
33.00,4192.00,4604304.00,13.00,186449.00,74.00,128.00,81.00,70.00,103.00,39.00,112.00,26.00,32563.00,216045.00,93324.00,64795.00,250003.00,0
31.00,3289.00,3928958.00,11.00,135685.00,50.00,86.00,118.00,116.00,108.00,102.00,94.00,37.00,878954.00,155138.00,5.00,5.00,5.00,0
29.00,11672.00,4790593.00,11.00,107937.00,113.00,63.00,116.00,115.00,39.00,62.00,111.00,29.00,80450.00,528541.00,5.00,5.00,5.00,2
23.00,8889.00,4553378.00,13.00,154821.00,96.00,125.00,96.00,110.00,127.00,123.00,92.00,26.00,1112981.00,1162757.00,5.00,5.00,5.00,0
31.00,4498.00,4326171.00,10.00,142356.00,96.00,80.00,111.00,108.00,100.00,95.00,44.00,25.00,29979.00,257343.00,5.00,5.00,5.00,1
24.00,10816.00,4443767.00,15.00,101419.00,65.00,48.00,64.00,128.00,80.00,44.00,109.00,42.00,35220.00,311897.00,666429.00,6198.00,696126.00,2
22.00,6617.00,4596361.00,15.00,150874.00,65.00,47.00,99.00,117.00,103.00,51.00,66.00,39.00,855441.00,875646.00,330021.00,35199.00,752337.00,3
28.00,3060.00,4528988.00,14.00,135460.00,91.00,126.00,65.00,88.00,39.00,96.00,110.00,31.00,1106469.00,1160952.00,472862.00,600228.00,546788.00,1
31.00,3020.00,3993346.00,11.00,149775.00,41.00,51.00,64.00,103.00,54.00,73.00,117.00,25.00,295779.00,125734.00,49697.00,251669.00,512412.00,2
25.00,9012.00,4242616.00,10.00,125473.00,113.00,70.00,91.00,43.00,118.00,96.00,44.00,33.00,496317.00,1076542.00,5.00,5.00,5.00,3
31.00,6227.00,4503431.00,10.00,113199.00,65.00,128.00,81.00,106.00,126.00,103.00,78.00,34.00,694142.00,869130.00,51949.00,261800.00,188617.00,1
29.00,10074.00,4025569.00,15.00,198432.00,54.00,127.00,81.00,68.00,101.00,110.00,125.00,33.00,683479.00,45321.00,310008.00,403402.00,242700.00,0
28.00,11951.00,4679689.00,15.00,120161.00,66.00,77.00,114.00,62.00,128.00,117.00,123.00,34.00,735499.00,669834.00,187088.00,302106.00,262297.00,2
29.00,5413.00,4020535.00,14.00,219049.00,64.00,111.00,116.00,68.00,127.00,45.00,51.00,27.00,1165630.00,147226.00,474342.00,296982.00,468563.00,3
30.00,10312.00,4309060.00,11.00,205557.00,60.00,75.00,105.00,48.00,84.00,51.00,62.00,29.00,565556.00,394455.00,119812.00,433322.00,527864.00,1
22.00,5047.00,4736716.00,12.00,100970.00,64.00,71.00,86.00,94.00,79.00,72.00,125.00,30.00,1181946.00,689599.00,676614.00,405049.00,385059.00,3
35.00,4520.00,3946551.00,12.00,225190.00,110.00,63.00,103.00,126.00,116.00,39.00,93.00,38.00,192678.00,743451.00,158287.00,574205.00,747035.00,1
28.00,8447.00,4524729.00,13.00,199373.00,121.00,82.00,113.00,47.00,52.00,87.00,56.00,22.00,12620.00,711094.00,5.00,5.00,5.00,3
22.00,5537.00,4766961.00,11.00,210409.00,46.00,120.00,69.00,48.00,81.00,84.00,48.00,34.00,1057579.00,1159366.00,101109.00,485781.00,776135.00,3
32.00,10537.00,4579520.00,11.00,129160.00,89.00,61.00,81.00,122.00,45.00,40.00,128.00,36.00,35744.00,828256.00,5.00,5.00,5.00,3
34.00,6189.00,4532416.00,14.00,97663.00,39.00,75.00,117.00,68.00,75.00,65.00,92.00,22.00,582741.00,1166072.00,5.00,5.00,5.00,3
23.00,6567.00,4781060.00,11.00,155310.00,127.00,83.00,113.00,99.00,79.00,78.00,91.00,39.00,643305.00,59579.00,306973.00,231915.00,642651.00,0
33.00,7089.00,4030882.00,14.00,171378.00,75.00,79.00,120.00,125.00,57.00,53.00,97.00,30.00,1059888.00,881413.00,771618.00,733042.00,102259.00,2
29.00,7421.00,4862376.00,14.00,104076.00,63.00,81.00,103.00,117.00,50.00,121.00,69.00,37.00,413669.00,1037024.00,5.00,5.00,5.00,3
28.00,9058.00,4935858.00,10.00,120118.00,62.00,100.00,47.00,79.00,107.00,106.00,56.00,37.00,435567.00,1153056.00,676132.00,722830.00,592366.00,2
31.00,11163.00,4183592.00,12.00,110861.00,98.00,113.00,51.00,67.00,51.00,57.00,126.00,28.00,740831.00,521735.00,379342.00,63117.00,94707.00,0
32.00,3511.00,4146039.00,10.00,113211.00,96.00,63.00,122.00,85.00,74.00,118.00,115.00,30.00,78766.00,368583.00,5.00,5.00,5.00,0
33.00,4446.00,4247913.00,15.00,187079.00,87.00,117.00,126.00,109.00,105.00,58.00,115.00,30.00,1200762.00,508679.00,223044.00,13136.00,222911.00,0
34.00,11977.00,3942894.00,11.00,106952.00,79.00,90.00,91.00,68.00,61.00,50.00,47.00,28.00,509917.00,694398.00,63687.00,270543.00,105332.00,0
31.00,3470.00,4718925.00,15.00,188741.00,53.00,77.00,88.00,41.00,122.00,47.00,123.00,40.00,1006627.00,1147164.00,757387.00,536783.00,79052.00,3
35.00,12082.00,4721279.00,14.00,130908.00,39.00,126.00,47.00,120.00,78.00,73.00,70.00,43.00,1116783.00,605407.00,5.00,5.00,5.00,3
31.00,9579.00,4857660.00,14.00,181806.00,120.00,43.00,127.00,66.00,104.00,125.00,71.00,43.00,153718.00,555767.00,549182.00,293314.00,458767.00,3
28.00,3496.00,4954074.00,12.00,154235.00,41.00,39.00,57.00,102.00,94.00,66.00,59.00,35.00,1181003.00,45881.00,641368.00,41068.00,238035.00,2
